Country Name,Country Code,Indicator Name,Value
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 60-64, female",4.01
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 60-64, total",4.91
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 65-69, female",3.63
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 65-69, total",4.6
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 70-74, female",2.82
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 70-74, total",3.96
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 75+, female",2.43
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 75+, total",3.51
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 15+, female",0.4
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 15+, total",0.49
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 15-19, female",0.0
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 15-19, total",0.0
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",0.2
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",0.14
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 25+, female",0.46
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 25+, total",0.58
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 25-29, female",0.7
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",0.59
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 30-34, female",0.82
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 30-34, total",0.78
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 35-39, female",0.63
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 35-39, total",0.7
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 40-44, female",0.63
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 40-44, total",0.7
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 45-49, female",0.51
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 45-49, total",0.62
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 50-54, female",0.5
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 50-54, total",0.62
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 55-59, female",0.39
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 55-59, total",0.55
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 60-64, female",0.39
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 60-64, total",0.55
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 65-69, female",0.23
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 65-69, total",0.44
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 70-74, female",0.23
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 70-74, total",0.44
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 75+, female",0.14
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 75+, total",0.32
Austria,AUT,"Barro-Lee: Average years of total schooling, age 15+, female",8.87
Austria,AUT,"Barro-Lee: Average years of total schooling, age 15+, total",9.6
Austria,AUT,"Barro-Lee: Average years of total schooling, age 15-19, female",5.99
Austria,AUT,"Barro-Lee: Average years of total schooling, age 15-19, total",5.93
Austria,AUT,"Barro-Lee: Average years of total schooling, age 20-24, female",10.77
Austria,AUT,"Barro-Lee: Average years of total schooling, age 20-24, total",10.71
Austria,AUT,"Barro-Lee: Average years of total schooling, age 25+, female",9.0
Austria,AUT,"Barro-Lee: Average years of total schooling, age 25+, total",9.89
Austria,AUT,"Barro-Lee: Average years of total schooling, age 25-29, female",11.58
Austria,AUT,"Barro-Lee: Average years of total schooling, age 25-29, total",11.59
Austria,AUT,"Barro-Lee: Average years of total schooling, age 30-34, female",11.62
Austria,AUT,"Barro-Lee: Average years of total schooling, age 30-34, total",11.63
Austria,AUT,"Barro-Lee: Average years of total schooling, age 35-39, female",11.01
Austria,AUT,"Barro-Lee: Average years of total schooling, age 35-39, total",11.17
Austria,AUT,"Barro-Lee: Average years of total schooling, age 40-44, female",9.92
Austria,AUT,"Barro-Lee: Average years of total schooling, age 40-44, total",10.37
Austria,AUT,"Barro-Lee: Average years of total schooling, age 45-49, female",9.49
Austria,AUT,"Barro-Lee: Average years of total schooling, age 45-49, total",10.18
Austria,AUT,"Barro-Lee: Average years of total schooling, age 50-54, female",9.54
Austria,AUT,"Barro-Lee: Average years of total schooling, age 50-54, total",10.33
Austria,AUT,"Barro-Lee: Average years of total schooling, age 55-59, female",8.42
Austria,AUT,"Barro-Lee: Average years of total schooling, age 55-59, total",9.5
Austria,AUT,"Barro-Lee: Average years of total schooling, age 60-64, female",8.21
Austria,AUT,"Barro-Lee: Average years of total schooling, age 60-64, total",9.31
Austria,AUT,"Barro-Lee: Average years of total schooling, age 65-69, female",7.6
Austria,AUT,"Barro-Lee: Average years of total schooling, age 65-69, total",8.85
Austria,AUT,"Barro-Lee: Average years of total schooling, age 70-74, female",6.71
Austria,AUT,"Barro-Lee: Average years of total schooling, age 70-74, total",8.15
Austria,AUT,"Barro-Lee: Average years of total schooling, age 75+, female",6.22
Austria,AUT,"Barro-Lee: Average years of total schooling, age 75+, total",7.57
Austria,AUT,Barro-Lee: Percentage of female population age 15+ with no education,1.17
Austria,AUT,Barro-Lee: Percentage of female population age 15+ with primary schooling. Completed Primary,23.44
Austria,AUT,Barro-Lee: Percentage of female population age 15+ with primary schooling. Total (Incomplete and Completed Primary),30.15
Austria,AUT,Barro-Lee: Percentage of female population age 15+ with secondary schooling. Completed Secondary,34.77
Austria,AUT,Barro-Lee: Percentage of female population age 15+ with secondary schooling. Total (Incomplete and Completed Secondary),55.96
Austria,AUT,Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Completed Tertiary,7.41
Austria,AUT,Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary),12.73
Austria,AUT,Barro-Lee: Percentage of female population age 15-19 with no education,0.11
Austria,AUT,Barro-Lee: Percentage of female population age 15-19 with primary schooling. Completed Primary,51.59
Austria,AUT,Barro-Lee: Percentage of female population age 15-19 with primary schooling. Total (Incomplete and Completed Primary),55.91
Austria,AUT,Barro-Lee: Percentage of female population age 15-19 with secondary schooling. Completed Secondary,7.92
Austria,AUT,Barro-Lee: Percentage of female population age 15-19 with secondary schooling. Total (Incomplete and Completed Secondary),43.94
Austria,AUT,Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Completed Tertiary,0.01
Austria,AUT,Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.04
Austria,AUT,Barro-Lee: Percentage of female population age 20-24 with no education,0.11
Austria,AUT,Barro-Lee: Percentage of female population age 20-24 with primary schooling. Completed Primary,9.6
Austria,AUT,Barro-Lee: Percentage of female population age 20-24 with primary schooling. Total (Incomplete and Completed Primary),11.19
Austria,AUT,Barro-Lee: Percentage of female population age 20-24 with secondary schooling. Completed Secondary,69.53
Austria,AUT,Barro-Lee: Percentage of female population age 20-24 with secondary schooling. Total (Incomplete and Completed Secondary),81.69
Austria,AUT,Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Completed Tertiary,2.89
Austria,AUT,Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary),7.0
Austria,AUT,Barro-Lee: Percentage of female population age 25+ with no education,1.33
Austria,AUT,Barro-Lee: Percentage of female population age 25+ with primary schooling. Completed Primary,22.56
Austria,AUT,Barro-Lee: Percentage of female population age 25+ with primary schooling. Total (Incomplete and Completed Primary),29.66
Austria,AUT,Barro-Lee: Percentage of female population age 25+ with secondary schooling. Completed Secondary,35.19
Austria,AUT,Barro-Lee: Percentage of female population age 25+ with secondary schooling. Total (Incomplete and Completed Secondary),54.92
Austria,AUT,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Completed Tertiary,8.81
Austria,AUT,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary),14.1
Austria,AUT,Barro-Lee: Percentage of female population age 25-29 with no education,0.11
Austria,AUT,Barro-Lee: Percentage of female population age 25-29 with primary schooling. Completed Primary,6.25
Austria,AUT,Barro-Lee: Percentage of female population age 25-29 with primary schooling. Total (Incomplete and Completed Primary),7.63
Austria,AUT,Barro-Lee: Percentage of female population age 25-29 with secondary schooling. Completed Secondary,59.66
Austria,AUT,Barro-Lee: Percentage of female population age 25-29 with secondary schooling. Total (Incomplete and Completed Secondary),71.33
Austria,AUT,Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Completed Tertiary,13.94
Austria,AUT,Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Total (Incomplete and Completed Tertiary),20.93
Austria,AUT,Barro-Lee: Percentage of female population age 30-34 with no education,5.81
Austria,AUT,Barro-Lee: Percentage of female population age 30-34 with primary schooling. Completed Primary,0.11
Austria,AUT,Barro-Lee: Percentage of female population age 30-34 with primary schooling. Total (Incomplete and Completed Primary),0.14
Austria,AUT,Barro-Lee: Percentage of female population age 30-34 with secondary schooling. Completed Secondary,57.35
Austria,AUT,Barro-Lee: Percentage of female population age 30-34 with secondary schooling. Total (Incomplete and Completed Secondary),69.58
Austria,AUT,Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Completed Tertiary,16.58
Austria,AUT,Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Total (Incomplete and Completed Tertiary),24.47
Austria,AUT,Barro-Lee: Percentage of female population age 35-39 with no education,4.0
Austria,AUT,Barro-Lee: Percentage of female population age 35-39 with primary schooling. Completed Primary,4.69
Austria,AUT,Barro-Lee: Percentage of female population age 35-39 with primary schooling. Total (Incomplete and Completed Primary),5.91
Austria,AUT,Barro-Lee: Percentage of female population age 35-39 with secondary schooling. Completed Secondary,55.27
Austria,AUT,Barro-Lee: Percentage of female population age 35-39 with secondary schooling. Total (Incomplete and Completed Secondary),71.21
Austria,AUT,Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Completed Tertiary,12.58
Austria,AUT,Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary),18.88
Austria,AUT,Barro-Lee: Percentage of female population age 40-44 with no education,3.19
Austria,AUT,Barro-Lee: Percentage of female population age 40-44 with primary schooling. Completed Primary,17.09
Austria,AUT,Barro-Lee: Percentage of female population age 40-44 with primary schooling. Total (Incomplete and Completed Primary),21.65
Austria,AUT,Barro-Lee: Percentage of female population age 40-44 with secondary schooling. Completed Secondary,43.68
Austria,AUT,Barro-Lee: Percentage of female population age 40-44 with secondary schooling. Total (Incomplete and Completed Secondary),56.28
Austria,AUT,Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Completed Tertiary,12.51
Austria,AUT,Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary),18.88
Austria,AUT,Barro-Lee: Percentage of female population age 45-49 with no education,0.91
Austria,AUT,Barro-Lee: Percentage of female population age 45-49 with primary schooling. Completed Primary,20.47
Austria,AUT,Barro-Lee: Percentage of female population age 45-49 with primary schooling. Total (Incomplete and Completed Primary),26.54
Austria,AUT,Barro-Lee: Percentage of female population age 45-49 with secondary schooling. Completed Secondary,40.72
Austria,AUT,Barro-Lee: Percentage of female population age 45-49 with secondary schooling. Total (Incomplete and Completed Secondary),57.2
Austria,AUT,Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Completed Tertiary,9.93
Austria,AUT,Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary),15.35
Austria,AUT,Barro-Lee: Percentage of female population age 50-54 with no education,0.09
Austria,AUT,Barro-Lee: Percentage of female population age 50-54 with primary schooling. Completed Primary,21.1
Austria,AUT,Barro-Lee: Percentage of female population age 50-54 with primary schooling. Total (Incomplete and Completed Primary),27.08
Austria,AUT,Barro-Lee: Percentage of female population age 50-54 with secondary schooling. Completed Secondary,40.93
Austria,AUT,Barro-Lee: Percentage of female population age 50-54 with secondary schooling. Total (Incomplete and Completed Secondary),57.49
Austria,AUT,Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Completed Tertiary,9.77
Austria,AUT,Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary),15.35
Austria,AUT,Barro-Lee: Percentage of female population age 55-59 with no education,0.09
Austria,AUT,Barro-Lee: Percentage of female population age 55-59 with primary schooling. Completed Primary,27.84
Austria,AUT,Barro-Lee: Percentage of female population age 55-59 with primary schooling. Total (Incomplete and Completed Primary),36.64
Austria,AUT,Barro-Lee: Percentage of female population age 55-59 with secondary schooling. Completed Secondary,30.06
Austria,AUT,Barro-Lee: Percentage of female population age 55-59 with secondary schooling. Total (Incomplete and Completed Secondary),51.2
Austria,AUT,Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Completed Tertiary,7.33
Austria,AUT,Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Total (Incomplete and Completed Tertiary),12.07
Austria,AUT,Barro-Lee: Percentage of female population age 60-64 with no education,0.09
Austria,AUT,Barro-Lee: Percentage of female population age 60-64 with primary schooling. Completed Primary,30.29
Austria,AUT,Barro-Lee: Percentage of female population age 60-64 with primary schooling. Total (Incomplete and Completed Primary),39.86
Austria,AUT,Barro-Lee: Percentage of female population age 60-64 with secondary schooling. Completed Secondary,28.17
Austria,AUT,Barro-Lee: Percentage of female population age 60-64 with secondary schooling. Total (Incomplete and Completed Secondary),47.98
Austria,AUT,Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Completed Tertiary,7.49
Austria,AUT,Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Total (Incomplete and Completed Tertiary),12.07
Austria,AUT,Barro-Lee: Percentage of female population age 65-69 with no education,0.09
Austria,AUT,Barro-Lee: Percentage of female population age 65-69 with primary schooling. Completed Primary,29.17
Austria,AUT,Barro-Lee: Percentage of female population age 65-69 with primary schooling. Total (Incomplete and Completed Primary),41.97
Austria,AUT,Barro-Lee: Percentage of female population age 65-69 with secondary schooling. Completed Secondary,25.4
Austria,AUT,Barro-Lee: Percentage of female population age 65-69 with secondary schooling. Total (Incomplete and Completed Secondary),50.51
Austria,AUT,Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Completed Tertiary,4.22
Austria,AUT,Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary),7.42
Austria,AUT,Barro-Lee: Percentage of female population age 70-74 with no education,0.09
Austria,AUT,Barro-Lee: Percentage of female population age 70-74 with primary schooling. Completed Primary,38.45
Austria,AUT,Barro-Lee: Percentage of female population age 70-74 with primary schooling. Total (Incomplete and Completed Primary),55.45
Austria,AUT,Barro-Lee: Percentage of female population age 70-74 with secondary schooling. Completed Secondary,18.63
Austria,AUT,Barro-Lee: Percentage of female population age 70-74 with secondary schooling. Total (Incomplete and Completed Secondary),37.04
Austria,AUT,Barro-Lee: Percentage of female population age 70-74 with tertiary schooling. Completed Tertiary,4.2
Austria,AUT,Barro-Lee: Percentage of female population age 70-74 with tertiary schooling. Total (Incomplete and Completed Tertiary),7.42
Austria,AUT,Barro-Lee: Percentage of female population age 75+ with no education,0.09
Austria,AUT,Barro-Lee: Percentage of female population age 75+ with primary schooling. Completed Primary,39.46
Austria,AUT,Barro-Lee: Percentage of female population age 75+ with primary schooling. Total (Incomplete and Completed Primary),56.86
Austria,AUT,Barro-Lee: Percentage of female population age 75+ with secondary schooling. Completed Secondary,13.01
Austria,AUT,Barro-Lee: Percentage of female population age 75+ with secondary schooling. Total (Incomplete and Completed Secondary),38.46
Austria,AUT,Barro-Lee: Percentage of female population age 75+ with tertiary schooling. Completed Tertiary,2.59
Austria,AUT,Barro-Lee: Percentage of female population age 75+ with tertiary schooling. Total (Incomplete and Completed Tertiary),4.6
Austria,AUT,Barro-Lee: Percentage of population age 15+ with no education,1.29
Austria,AUT,Barro-Lee: Percentage of population age 15+ with primary schooling. Completed Primary,18.4
Austria,AUT,Barro-Lee: Percentage of population age 15+ with primary schooling. Total (Incomplete and Completed Primary),23.39
Austria,AUT,Barro-Lee: Percentage of population age 15+ with secondary schooling. Completed Secondary,40.81
Austria,AUT,Barro-Lee: Percentage of population age 15+ with secondary schooling. Total (Incomplete and Completed Secondary),59.96
Austria,AUT,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Completed Tertiary,9.37
Austria,AUT,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary),15.36
Austria,AUT,Barro-Lee: Percentage of population age 15-19 with no education,0.1
Austria,AUT,Barro-Lee: Percentage of population age 15-19 with primary schooling. Completed Primary,52.79
Austria,AUT,Barro-Lee: Percentage of population age 15-19 with primary schooling. Total (Incomplete and Completed Primary),56.72
Austria,AUT,Barro-Lee: Percentage of population age 15-19 with secondary schooling. Completed Secondary,7.06
Austria,AUT,Barro-Lee: Percentage of population age 15-19 with secondary schooling. Total (Incomplete and Completed Secondary),43.13
Austria,AUT,Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Completed Tertiary,0.01
Austria,AUT,Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.04
Austria,AUT,Barro-Lee: Percentage of population age 20-24 with no education,0.11
Austria,AUT,Barro-Lee: Percentage of population age 20-24 with primary schooling. Completed Primary,9.6
Austria,AUT,Barro-Lee: Percentage of population age 20-24 with primary schooling. Total (Incomplete and Completed Primary),11.01
Austria,AUT,Barro-Lee: Percentage of population age 20-24 with secondary schooling. Completed Secondary,70.98
Austria,AUT,Barro-Lee: Percentage of population age 20-24 with secondary schooling. Total (Incomplete and Completed Secondary),83.74
Austria,AUT,Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Completed Tertiary,1.97
Austria,AUT,Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary),5.14
Austria,AUT,Barro-Lee: Percentage of population age 25+ with no education,1.48
Austria,AUT,Barro-Lee: Percentage of population age 25+ with primary schooling. Completed Primary,16.72
Austria,AUT,Barro-Lee: Percentage of population age 25+ with primary schooling. Total (Incomplete and Completed Primary),21.75
Austria,AUT,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,42.51
Austria,AUT,Barro-Lee: Percentage of population age 25+ with secondary schooling. Total (Incomplete and Completed Secondary),59.39
Austria,AUT,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary,11.53
Austria,AUT,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary),17.39
Austria,AUT,Barro-Lee: Percentage of population age 25-29 with no education,0.15
Austria,AUT,Barro-Lee: Percentage of population age 25-29 with primary schooling. Completed Primary,5.43
Austria,AUT,Barro-Lee: Percentage of population age 25-29 with primary schooling. Total (Incomplete and Completed Primary),6.47
Austria,AUT,Barro-Lee: Percentage of population age 25-29 with secondary schooling. Completed Secondary,64.15
Austria,AUT,Barro-Lee: Percentage of population age 25-29 with secondary schooling. Total (Incomplete and Completed Secondary),75.18
Austria,AUT,Barro-Lee: Percentage of population age 25-29 with tertiary schooling. Completed Tertiary,11.5
Austria,AUT,Barro-Lee: Percentage of population age 25-29 with tertiary schooling. Total (Incomplete and Completed Tertiary),18.19
Austria,AUT,Barro-Lee: Percentage of population age 30-34 with no education,5.82
Austria,AUT,Barro-Lee: Percentage of population age 30-34 with primary schooling. Completed Primary,0.09
Austria,AUT,Barro-Lee: Percentage of population age 30-34 with primary schooling. Total (Incomplete and Completed Primary),0.11
Austria,AUT,Barro-Lee: Percentage of population age 30-34 with secondary schooling. Completed Secondary,59.46
Austria,AUT,Barro-Lee: Percentage of population age 30-34 with secondary schooling. Total (Incomplete and Completed Secondary),70.6
Austria,AUT,Barro-Lee: Percentage of population age 30-34 with tertiary schooling. Completed Tertiary,15.45
Austria,AUT,Barro-Lee: Percentage of population age 30-34 with tertiary schooling. Total (Incomplete and Completed Tertiary),23.48
Austria,AUT,Barro-Lee: Percentage of population age 35-39 with no education,5.39
Austria,AUT,Barro-Lee: Percentage of population age 35-39 with primary schooling. Completed Primary,3.64
Austria,AUT,Barro-Lee: Percentage of population age 35-39 with primary schooling. Total (Incomplete and Completed Primary),4.53
Austria,AUT,Barro-Lee: Percentage of population age 35-39 with secondary schooling. Completed Secondary,56.85
Austria,AUT,Barro-Lee: Percentage of population age 35-39 with secondary schooling. Total (Incomplete and Completed Secondary),69.28
Austria,AUT,Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Completed Tertiary,14.07
Austria,AUT,Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary),20.81
Austria,AUT,Barro-Lee: Percentage of population age 40-44 with no education,2.99
Austria,AUT,Barro-Lee: Percentage of population age 40-44 with primary schooling. Completed Primary,14.82
Austria,AUT,Barro-Lee: Percentage of population age 40-44 with primary schooling. Total (Incomplete and Completed Primary),18.56
Austria,AUT,Barro-Lee: Percentage of population age 40-44 with secondary schooling. Completed Secondary,47.31
Austria,AUT,Barro-Lee: Percentage of population age 40-44 with secondary schooling. Total (Incomplete and Completed Secondary),57.64
Austria,AUT,Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Completed Tertiary,14.2
Austria,AUT,Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary),20.81
Austria,AUT,Barro-Lee: Percentage of population age 45-49 with no education,0.72
Austria,AUT,Barro-Lee: Percentage of population age 45-49 with primary schooling. Completed Primary,16.6
Austria,AUT,Barro-Lee: Percentage of population age 45-49 with primary schooling. Total (Incomplete and Completed Primary),21.53
Austria,AUT,Barro-Lee: Percentage of population age 45-49 with secondary schooling. Completed Secondary,45.8
Austria,AUT,Barro-Lee: Percentage of population age 45-49 with secondary schooling. Total (Incomplete and Completed Secondary),59.15
Austria,AUT,Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Completed Tertiary,12.53
Austria,AUT,Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary),18.6
Austria,AUT,Barro-Lee: Percentage of population age 50-54 with no education,0.08
Austria,AUT,Barro-Lee: Percentage of population age 50-54 with primary schooling. Completed Primary,15.91
Austria,AUT,Barro-Lee: Percentage of population age 50-54 with primary schooling. Total (Incomplete and Completed Primary),20.49
Austria,AUT,Barro-Lee: Percentage of population age 50-54 with secondary schooling. Completed Secondary,47.1
Austria,AUT,Barro-Lee: Percentage of population age 50-54 with secondary schooling. Total (Incomplete and Completed Secondary),60.82
Austria,AUT,Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Completed Tertiary,12.43
Austria,AUT,Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary),18.6
Austria,AUT,Barro-Lee: Percentage of population age 55-59 with no education,0.09
Austria,AUT,Barro-Lee: Percentage of population age 55-59 with primary schooling. Completed Primary,20.58
Austria,AUT,Barro-Lee: Percentage of population age 55-59 with primary schooling. Total (Incomplete and Completed Primary),27.14
Austria,AUT,Barro-Lee: Percentage of population age 55-59 with secondary schooling. Completed Secondary,38.07
Austria,AUT,Barro-Lee: Percentage of population age 55-59 with secondary schooling. Total (Incomplete and Completed Secondary),56.29
Austria,AUT,Barro-Lee: Percentage of population age 55-59 with tertiary schooling. Completed Tertiary,10.84
