,Indicator Name,Country Name,Country Code,Value
58,"Barro-Lee: Average years of secondary schooling, age 70-74, female",18,18,18
59,"Barro-Lee: Average years of secondary schooling, age 70-74, total",18,18,18
60,"Barro-Lee: Average years of secondary schooling, age 75+, female",18,18,18
61,"Barro-Lee: Average years of secondary schooling, age 75+, total",18,18,18
62,"Barro-Lee: Average years of tertiary schooling, age 15+, female",18,18,18
63,"Barro-Lee: Average years of tertiary schooling, age 15+, total",18,18,18
64,"Barro-Lee: Average years of tertiary schooling, age 15-19, female",18,18,18
65,"Barro-Lee: Average years of tertiary schooling, age 15-19, total",18,18,18
66,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",18,18,18
67,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",18,18,18
68,"Barro-Lee: Average years of tertiary schooling, age 25+, female",18,18,18
69,"Barro-Lee: Average years of tertiary schooling, age 25+, total",18,18,18
70,"Barro-Lee: Average years of tertiary schooling, age 25-29, female",18,18,18
71,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",18,18,18
72,"Barro-Lee: Average years of tertiary schooling, age 30-34, female",18,18,18
73,"Barro-Lee: Average years of tertiary schooling, age 30-34, total",18,18,18
74,"Barro-Lee: Average years of tertiary schooling, age 35-39, female",18,18,18
75,"Barro-Lee: Average years of tertiary schooling, age 35-39, total",18,18,18
76,"Barro-Lee: Average years of tertiary schooling, age 40-44, female",18,18,18
77,"Barro-Lee: Average years of tertiary schooling, age 40-44, total",18,18,18
78,"Barro-Lee: Average years of tertiary schooling, age 45-49, female",18,18,18
79,"Barro-Lee: Average years of tertiary schooling, age 45-49, total",18,18,18
80,"Barro-Lee: Average years of tertiary schooling, age 50-54, female",18,18,18
81,"Barro-Lee: Average years of tertiary schooling, age 50-54, total",18,18,18
82,"Barro-Lee: Average years of tertiary schooling, age 55-59, female",18,18,18
83,"Barro-Lee: Average years of tertiary schooling, age 55-59, total",18,18,18
84,"Barro-Lee: Average years of tertiary schooling, age 60-64, female",18,18,18
85,"Barro-Lee: Average years of tertiary schooling, age 60-64, total",18,18,18
86,"Barro-Lee: Average years of tertiary schooling, age 65-69, female",18,18,18
87,"Barro-Lee: Average years of tertiary schooling, age 65-69, total",18,18,18
88,"Barro-Lee: Average years of tertiary schooling, age 70-74, female",18,18,18
89,"Barro-Lee: Average years of tertiary schooling, age 70-74, total",18,18,18
90,"Barro-Lee: Average years of tertiary schooling, age 75+, female",18,18,18
91,"Barro-Lee: Average years of tertiary schooling, age 75+, total",18,18,18
92,"Barro-Lee: Average years of total schooling, age 15+, female",18,18,18
93,"Barro-Lee: Average years of total schooling, age 15+, total",18,18,18
94,"Barro-Lee: Average years of total schooling, age 15-19, female",18,18,18
95,"Barro-Lee: Average years of total schooling, age 15-19, total",18,18,18
96,"Barro-Lee: Average years of total schooling, age 20-24, female",18,18,18
97,"Barro-Lee: Average years of total schooling, age 20-24, total",18,18,18
98,"Barro-Lee: Average years of total schooling, age 25+, female",18,18,18
99,"Barro-Lee: Average years of total schooling, age 25+, total",18,18,18
100,"Barro-Lee: Average years of total schooling, age 25-29, female",18,18,18
101,"Barro-Lee: Average years of total schooling, age 25-29, total",18,18,18
102,"Barro-Lee: Average years of total schooling, age 30-34, female",18,18,18
103,"Barro-Lee: Average years of total schooling, age 30-34, total",18,18,18
104,"Barro-Lee: Average years of total schooling, age 35-39, female",18,18,18
105,"Barro-Lee: Average years of total schooling, age 35-39, total",18,18,18
106,"Barro-Lee: Average years of total schooling, age 40-44, female",18,18,18
107,"Barro-Lee: Average years of total schooling, age 40-44, total",18,18,18
108,"Barro-Lee: Average years of total schooling, age 45-49, female",18,18,18
109,"Barro-Lee: Average years of total schooling, age 45-49, total",18,18,18
110,"Barro-Lee: Average years of total schooling, age 50-54, female",18,18,18
111,"Barro-Lee: Average years of total schooling, age 50-54, total",18,18,18
112,"Barro-Lee: Average years of total schooling, age 55-59, female",18,18,18
113,"Barro-Lee: Average years of total schooling, age 55-59, total",18,18,18
114,"Barro-Lee: Average years of total schooling, age 60-64, female",18,18,18
115,"Barro-Lee: Average years of total schooling, age 60-64, total",18,18,18
116,"Barro-Lee: Average years of total schooling, age 65-69, female",18,18,18
117,"Barro-Lee: Average years of total schooling, age 65-69, total",18,18,18
118,"Barro-Lee: Average years of total schooling, age 70-74, female",18,18,18
119,"Barro-Lee: Average years of total schooling, age 70-74, total",18,18,18
120,"Barro-Lee: Average years of total schooling, age 75+, female",18,18,18
121,"Barro-Lee: Average years of total schooling, age 75+, total",18,18,18
122,Barro-Lee: Percentage of female population age 15+ with no education,18,18,18
123,Barro-Lee: Percentage of female population age 15+ with primary schooling. Completed Primary,18,18,18
124,Barro-Lee: Percentage of female population age 15+ with primary schooling. Total (Incomplete and Completed Primary),18,18,18
125,Barro-Lee: Percentage of female population age 15+ with secondary schooling. Completed Secondary,18,18,18
126,Barro-Lee: Percentage of female population age 15+ with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
127,Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Completed Tertiary,18,18,18
128,Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
129,Barro-Lee: Percentage of female population age 15-19 with no education,18,18,18
130,Barro-Lee: Percentage of female population age 15-19 with primary schooling. Completed Primary,18,18,18
131,Barro-Lee: Percentage of female population age 15-19 with primary schooling. Total (Incomplete and Completed Primary),18,18,18
132,Barro-Lee: Percentage of female population age 15-19 with secondary schooling. Completed Secondary,18,18,18
133,Barro-Lee: Percentage of female population age 15-19 with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
134,Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Completed Tertiary,18,18,18
135,Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
136,Barro-Lee: Percentage of female population age 20-24 with no education,18,18,18
137,Barro-Lee: Percentage of female population age 20-24 with primary schooling. Completed Primary,18,18,18
138,Barro-Lee: Percentage of female population age 20-24 with primary schooling. Total (Incomplete and Completed Primary),18,18,18
139,Barro-Lee: Percentage of female population age 20-24 with secondary schooling. Completed Secondary,18,18,18
140,Barro-Lee: Percentage of female population age 20-24 with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
141,Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Completed Tertiary,18,18,18
142,Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
143,Barro-Lee: Percentage of female population age 25+ with no education,18,18,18
144,Barro-Lee: Percentage of female population age 25+ with primary schooling. Completed Primary,18,18,18
145,Barro-Lee: Percentage of female population age 25+ with primary schooling. Total (Incomplete and Completed Primary),18,18,18
146,Barro-Lee: Percentage of female population age 25+ with secondary schooling. Completed Secondary,18,18,18
147,Barro-Lee: Percentage of female population age 25+ with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
148,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Completed Tertiary,18,18,18
149,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
150,Barro-Lee: Percentage of female population age 25-29 with no education,18,18,18
151,Barro-Lee: Percentage of female population age 25-29 with primary schooling. Completed Primary,18,18,18
152,Barro-Lee: Percentage of female population age 25-29 with primary schooling. Total (Incomplete and Completed Primary),18,18,18
153,Barro-Lee: Percentage of female population age 25-29 with secondary schooling. Completed Secondary,18,18,18
154,Barro-Lee: Percentage of female population age 25-29 with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
155,Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Completed Tertiary,18,18,18
156,Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
157,Barro-Lee: Percentage of female population age 30-34 with no education,18,18,18
158,Barro-Lee: Percentage of female population age 30-34 with primary schooling. Completed Primary,18,18,18
159,Barro-Lee: Percentage of female population age 30-34 with primary schooling. Total (Incomplete and Completed Primary),18,18,18
160,Barro-Lee: Percentage of female population age 30-34 with secondary schooling. Completed Secondary,18,18,18
161,Barro-Lee: Percentage of female population age 30-34 with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
162,Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Completed Tertiary,18,18,18
163,Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
164,Barro-Lee: Percentage of female population age 35-39 with no education,18,18,18
165,Barro-Lee: Percentage of female population age 35-39 with primary schooling. Completed Primary,18,18,18
166,Barro-Lee: Percentage of female population age 35-39 with primary schooling. Total (Incomplete and Completed Primary),18,18,18
167,Barro-Lee: Percentage of female population age 35-39 with secondary schooling. Completed Secondary,18,18,18
168,Barro-Lee: Percentage of female population age 35-39 with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
169,Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Completed Tertiary,18,18,18
170,Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
171,Barro-Lee: Percentage of female population age 40-44 with no education,18,18,18
172,Barro-Lee: Percentage of female population age 40-44 with primary schooling. Completed Primary,18,18,18
173,Barro-Lee: Percentage of female population age 40-44 with primary schooling. Total (Incomplete and Completed Primary),18,18,18
174,Barro-Lee: Percentage of female population age 40-44 with secondary schooling. Completed Secondary,18,18,18
175,Barro-Lee: Percentage of female population age 40-44 with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
176,Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Completed Tertiary,18,18,18
177,Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
178,Barro-Lee: Percentage of female population age 45-49 with no education,18,18,18
179,Barro-Lee: Percentage of female population age 45-49 with primary schooling. Completed Primary,18,18,18
180,Barro-Lee: Percentage of female population age 45-49 with primary schooling. Total (Incomplete and Completed Primary),18,18,18
181,Barro-Lee: Percentage of female population age 45-49 with secondary schooling. Completed Secondary,18,18,18
182,Barro-Lee: Percentage of female population age 45-49 with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
183,Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Completed Tertiary,18,18,18
184,Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
185,Barro-Lee: Percentage of female population age 50-54 with no education,18,18,18
186,Barro-Lee: Percentage of female population age 50-54 with primary schooling. Completed Primary,18,18,18
187,Barro-Lee: Percentage of female population age 50-54 with primary schooling. Total (Incomplete and Completed Primary),18,18,18
188,Barro-Lee: Percentage of female population age 50-54 with secondary schooling. Completed Secondary,18,18,18
189,Barro-Lee: Percentage of female population age 50-54 with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
190,Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Completed Tertiary,18,18,18
191,Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
192,Barro-Lee: Percentage of female population age 55-59 with no education,18,18,18
193,Barro-Lee: Percentage of female population age 55-59 with primary schooling. Completed Primary,18,18,18
194,Barro-Lee: Percentage of female population age 55-59 with primary schooling. Total (Incomplete and Completed Primary),18,18,18
195,Barro-Lee: Percentage of female population age 55-59 with secondary schooling. Completed Secondary,18,18,18
196,Barro-Lee: Percentage of female population age 55-59 with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
197,Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Completed Tertiary,18,18,18
198,Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
199,Barro-Lee: Percentage of female population age 60-64 with no education,18,18,18
200,Barro-Lee: Percentage of female population age 60-64 with primary schooling. Completed Primary,18,18,18
201,Barro-Lee: Percentage of female population age 60-64 with primary schooling. Total (Incomplete and Completed Primary),18,18,18
202,Barro-Lee: Percentage of female population age 60-64 with secondary schooling. Completed Secondary,18,18,18
203,Barro-Lee: Percentage of female population age 60-64 with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
204,Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Completed Tertiary,18,18,18
205,Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
206,Barro-Lee: Percentage of female population age 65-69 with no education,18,18,18
207,Barro-Lee: Percentage of female population age 65-69 with primary schooling. Completed Primary,18,18,18
208,Barro-Lee: Percentage of female population age 65-69 with primary schooling. Total (Incomplete and Completed Primary),18,18,18
209,Barro-Lee: Percentage of female population age 65-69 with secondary schooling. Completed Secondary,18,18,18
210,Barro-Lee: Percentage of female population age 65-69 with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
211,Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Completed Tertiary,18,18,18
212,Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
213,Barro-Lee: Percentage of female population age 70-74 with no education,18,18,18
214,Barro-Lee: Percentage of female population age 70-74 with primary schooling. Completed Primary,18,18,18
215,Barro-Lee: Percentage of female population age 70-74 with primary schooling. Total (Incomplete and Completed Primary),18,18,18
216,Barro-Lee: Percentage of female population age 70-74 with secondary schooling. Completed Secondary,18,18,18
217,Barro-Lee: Percentage of female population age 70-74 with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
218,Barro-Lee: Percentage of female population age 70-74 with tertiary schooling. Completed Tertiary,18,18,18
219,Barro-Lee: Percentage of female population age 70-74 with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
220,Barro-Lee: Percentage of female population age 75+ with no education,18,18,18
221,Barro-Lee: Percentage of female population age 75+ with primary schooling. Completed Primary,18,18,18
222,Barro-Lee: Percentage of female population age 75+ with primary schooling. Total (Incomplete and Completed Primary),18,18,18
223,Barro-Lee: Percentage of female population age 75+ with secondary schooling. Completed Secondary,18,18,18
224,Barro-Lee: Percentage of female population age 75+ with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
225,Barro-Lee: Percentage of female population age 75+ with tertiary schooling. Completed Tertiary,18,18,18
226,Barro-Lee: Percentage of female population age 75+ with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
227,Barro-Lee: Percentage of population age 15+ with no education,18,18,18
228,Barro-Lee: Percentage of population age 15+ with primary schooling. Completed Primary,18,18,18
229,Barro-Lee: Percentage of population age 15+ with primary schooling. Total (Incomplete and Completed Primary),18,18,18
230,Barro-Lee: Percentage of population age 15+ with secondary schooling. Completed Secondary,18,18,18
231,Barro-Lee: Percentage of population age 15+ with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
232,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Completed Tertiary,18,18,18
233,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
234,Barro-Lee: Percentage of population age 15-19 with no education,18,18,18
235,Barro-Lee: Percentage of population age 15-19 with primary schooling. Completed Primary,18,18,18
236,Barro-Lee: Percentage of population age 15-19 with primary schooling. Total (Incomplete and Completed Primary),18,18,18
237,Barro-Lee: Percentage of population age 15-19 with secondary schooling. Completed Secondary,18,18,18
238,Barro-Lee: Percentage of population age 15-19 with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
239,Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Completed Tertiary,18,18,18
240,Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
241,Barro-Lee: Percentage of population age 20-24 with no education,18,18,18
242,Barro-Lee: Percentage of population age 20-24 with primary schooling. Completed Primary,18,18,18
243,Barro-Lee: Percentage of population age 20-24 with primary schooling. Total (Incomplete and Completed Primary),18,18,18
244,Barro-Lee: Percentage of population age 20-24 with secondary schooling. Completed Secondary,18,18,18
245,Barro-Lee: Percentage of population age 20-24 with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
246,Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Completed Tertiary,18,18,18
247,Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
248,Barro-Lee: Percentage of population age 25+ with no education,18,18,18
249,Barro-Lee: Percentage of population age 25+ with primary schooling. Completed Primary,18,18,18
250,Barro-Lee: Percentage of population age 25+ with primary schooling. Total (Incomplete and Completed Primary),18,18,18
251,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,18,18,18
252,Barro-Lee: Percentage of population age 25+ with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
253,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary,18,18,18
254,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
255,Barro-Lee: Percentage of population age 25-29 with no education,18,18,18
256,Barro-Lee: Percentage of population age 25-29 with primary schooling. Completed Primary,18,18,18
257,Barro-Lee: Percentage of population age 25-29 with primary schooling. Total (Incomplete and Completed Primary),18,18,18
258,Barro-Lee: Percentage of population age 25-29 with secondary schooling. Completed Secondary,18,18,18
259,Barro-Lee: Percentage of population age 25-29 with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
260,Barro-Lee: Percentage of population age 25-29 with tertiary schooling. Completed Tertiary,18,18,18
261,Barro-Lee: Percentage of population age 25-29 with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
262,Barro-Lee: Percentage of population age 30-34 with no education,18,18,18
263,Barro-Lee: Percentage of population age 30-34 with primary schooling. Completed Primary,18,18,18
264,Barro-Lee: Percentage of population age 30-34 with primary schooling. Total (Incomplete and Completed Primary),18,18,18
265,Barro-Lee: Percentage of population age 30-34 with secondary schooling. Completed Secondary,18,18,18
266,Barro-Lee: Percentage of population age 30-34 with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
267,Barro-Lee: Percentage of population age 30-34 with tertiary schooling. Completed Tertiary,18,18,18
268,Barro-Lee: Percentage of population age 30-34 with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
269,Barro-Lee: Percentage of population age 35-39 with no education,18,18,18
270,Barro-Lee: Percentage of population age 35-39 with primary schooling. Completed Primary,18,18,18
271,Barro-Lee: Percentage of population age 35-39 with primary schooling. Total (Incomplete and Completed Primary),18,18,18
272,Barro-Lee: Percentage of population age 35-39 with secondary schooling. Completed Secondary,18,18,18
273,Barro-Lee: Percentage of population age 35-39 with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
274,Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Completed Tertiary,18,18,18
275,Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
276,Barro-Lee: Percentage of population age 40-44 with no education,18,18,18
277,Barro-Lee: Percentage of population age 40-44 with primary schooling. Completed Primary,18,18,18
278,Barro-Lee: Percentage of population age 40-44 with primary schooling. Total (Incomplete and Completed Primary),18,18,18
279,Barro-Lee: Percentage of population age 40-44 with secondary schooling. Completed Secondary,18,18,18
280,Barro-Lee: Percentage of population age 40-44 with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
281,Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Completed Tertiary,18,18,18
282,Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
283,Barro-Lee: Percentage of population age 45-49 with no education,18,18,18
284,Barro-Lee: Percentage of population age 45-49 with primary schooling. Completed Primary,18,18,18
285,Barro-Lee: Percentage of population age 45-49 with primary schooling. Total (Incomplete and Completed Primary),18,18,18
286,Barro-Lee: Percentage of population age 45-49 with secondary schooling. Completed Secondary,18,18,18
287,Barro-Lee: Percentage of population age 45-49 with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
288,Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Completed Tertiary,18,18,18
289,Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
290,Barro-Lee: Percentage of population age 50-54 with no education,18,18,18
291,Barro-Lee: Percentage of population age 50-54 with primary schooling. Completed Primary,18,18,18
292,Barro-Lee: Percentage of population age 50-54 with primary schooling. Total (Incomplete and Completed Primary),18,18,18
293,Barro-Lee: Percentage of population age 50-54 with secondary schooling. Completed Secondary,18,18,18
294,Barro-Lee: Percentage of population age 50-54 with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
295,Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Completed Tertiary,18,18,18
296,Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
297,Barro-Lee: Percentage of population age 55-59 with no education,18,18,18
298,Barro-Lee: Percentage of population age 55-59 with primary schooling. Completed Primary,18,18,18
299,Barro-Lee: Percentage of population age 55-59 with primary schooling. Total (Incomplete and Completed Primary),18,18,18
300,Barro-Lee: Percentage of population age 55-59 with secondary schooling. Completed Secondary,18,18,18
301,Barro-Lee: Percentage of population age 55-59 with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
302,Barro-Lee: Percentage of population age 55-59 with tertiary schooling. Completed Tertiary,18,18,18
303,Barro-Lee: Percentage of population age 55-59 with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
304,Barro-Lee: Percentage of population age 60-64 with no education,18,18,18
305,Barro-Lee: Percentage of population age 60-64 with primary schooling. Completed Primary,18,18,18
306,Barro-Lee: Percentage of population age 60-64 with primary schooling. Total (Incomplete and Completed Primary),18,18,18
307,Barro-Lee: Percentage of population age 60-64 with secondary schooling. Completed Secondary,18,18,18
308,Barro-Lee: Percentage of population age 60-64 with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
309,Barro-Lee: Percentage of population age 60-64 with tertiary schooling. Completed Tertiary,18,18,18
310,Barro-Lee: Percentage of population age 60-64 with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
311,Barro-Lee: Percentage of population age 65-69 with no education,18,18,18
312,Barro-Lee: Percentage of population age 65-69 with primary schooling. Completed Primary,18,18,18
313,Barro-Lee: Percentage of population age 65-69 with primary schooling. Total (Incomplete and Completed Primary),18,18,18
314,Barro-Lee: Percentage of population age 65-69 with secondary schooling. Completed Secondary,18,18,18
315,Barro-Lee: Percentage of population age 65-69 with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
316,Barro-Lee: Percentage of population age 65-69 with tertiary schooling. Completed Tertiary,18,18,18
317,Barro-Lee: Percentage of population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
318,Barro-Lee: Percentage of population age 70-74 with no education,18,18,18
319,Barro-Lee: Percentage of population age 70-74 with primary schooling. Completed Primary,18,18,18
320,Barro-Lee: Percentage of population age 70-74 with primary schooling. Total (Incomplete and Completed Primary),18,18,18
321,Barro-Lee: Percentage of population age 70-74 with secondary schooling. Completed Secondary,18,18,18
322,Barro-Lee: Percentage of population age 70-74 with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
323,Barro-Lee: Percentage of population age 70-74 with tertiary schooling. Completed Tertiary,18,18,18
324,Barro-Lee: Percentage of population age 70-74 with tertiary schooling. Total (Incomplete and Completed Tertiary),18,18,18
325,Barro-Lee: Percentage of population age 75+ with no education,18,18,18
326,Barro-Lee: Percentage of population age 75+ with primary schooling. Completed Primary,18,18,18
327,Barro-Lee: Percentage of population age 75+ with primary schooling. Total (Incomplete and Completed Primary),18,18,18
328,Barro-Lee: Percentage of population age 75+ with secondary schooling. Completed Secondary,18,18,18
329,Barro-Lee: Percentage of population age 75+ with secondary schooling. Total (Incomplete and Completed Secondary),18,18,18
