,Indicator Name,Country Name,Country Code,Value
72,"Barro-Lee: Average years of primary schooling, age 15-19, female",Austria,1,1
73,"Barro-Lee: Average years of primary schooling, age 15-19, female",Belgium,1,1
74,"Barro-Lee: Average years of primary schooling, age 15-19, female",Bulgaria,1,1
75,"Barro-Lee: Average years of primary schooling, age 15-19, female",Denmark,1,1
76,"Barro-Lee: Average years of primary schooling, age 15-19, female",Finland,1,1
77,"Barro-Lee: Average years of primary schooling, age 15-19, female",France,1,1
78,"Barro-Lee: Average years of primary schooling, age 15-19, female",Germany,1,1
79,"Barro-Lee: Average years of primary schooling, age 15-19, female",Greece,1,1
80,"Barro-Lee: Average years of primary schooling, age 15-19, female",Hungary,1,1
81,"Barro-Lee: Average years of primary schooling, age 15-19, female",Ireland,1,1
82,"Barro-Lee: Average years of primary schooling, age 15-19, female",Italy,1,1
83,"Barro-Lee: Average years of primary schooling, age 15-19, female",Netherlands,1,1
84,"Barro-Lee: Average years of primary schooling, age 15-19, female",Norway,1,1
85,"Barro-Lee: Average years of primary schooling, age 15-19, female",Portugal,1,1
86,"Barro-Lee: Average years of primary schooling, age 15-19, female",Spain,1,1
87,"Barro-Lee: Average years of primary schooling, age 15-19, female",Sweden,1,1
88,"Barro-Lee: Average years of primary schooling, age 15-19, female",Switzerland,1,1
89,"Barro-Lee: Average years of primary schooling, age 15-19, female",United Kingdom,1,1
90,"Barro-Lee: Average years of primary schooling, age 15-19, total",Austria,1,1
91,"Barro-Lee: Average years of primary schooling, age 15-19, total",Belgium,1,1
92,"Barro-Lee: Average years of primary schooling, age 15-19, total",Bulgaria,1,1
93,"Barro-Lee: Average years of primary schooling, age 15-19, total",Denmark,1,1
94,"Barro-Lee: Average years of primary schooling, age 15-19, total",Finland,1,1
95,"Barro-Lee: Average years of primary schooling, age 15-19, total",France,1,1
96,"Barro-Lee: Average years of primary schooling, age 15-19, total",Germany,1,1
97,"Barro-Lee: Average years of primary schooling, age 15-19, total",Greece,1,1
98,"Barro-Lee: Average years of primary schooling, age 15-19, total",Hungary,1,1
99,"Barro-Lee: Average years of primary schooling, age 15-19, total",Ireland,1,1
100,"Barro-Lee: Average years of primary schooling, age 15-19, total",Italy,1,1
101,"Barro-Lee: Average years of primary schooling, age 15-19, total",Netherlands,1,1
102,"Barro-Lee: Average years of primary schooling, age 15-19, total",Norway,1,1
103,"Barro-Lee: Average years of primary schooling, age 15-19, total",Portugal,1,1
104,"Barro-Lee: Average years of primary schooling, age 15-19, total",Spain,1,1
105,"Barro-Lee: Average years of primary schooling, age 15-19, total",Sweden,1,1
106,"Barro-Lee: Average years of primary schooling, age 15-19, total",Switzerland,1,1
107,"Barro-Lee: Average years of primary schooling, age 15-19, total",United Kingdom,1,1
108,"Barro-Lee: Average years of primary schooling, age 20-24, female",Austria,1,1
109,"Barro-Lee: Average years of primary schooling, age 20-24, female",Belgium,1,1
110,"Barro-Lee: Average years of primary schooling, age 20-24, female",Bulgaria,1,1
111,"Barro-Lee: Average years of primary schooling, age 20-24, female",Denmark,1,1
112,"Barro-Lee: Average years of primary schooling, age 20-24, female",Finland,1,1
113,"Barro-Lee: Average years of primary schooling, age 20-24, female",France,1,1
114,"Barro-Lee: Average years of primary schooling, age 20-24, female",Germany,1,1
115,"Barro-Lee: Average years of primary schooling, age 20-24, female",Greece,1,1
116,"Barro-Lee: Average years of primary schooling, age 20-24, female",Hungary,1,1
117,"Barro-Lee: Average years of primary schooling, age 20-24, female",Ireland,1,1
118,"Barro-Lee: Average years of primary schooling, age 20-24, female",Italy,1,1
119,"Barro-Lee: Average years of primary schooling, age 20-24, female",Netherlands,1,1
120,"Barro-Lee: Average years of primary schooling, age 20-24, female",Norway,1,1
121,"Barro-Lee: Average years of primary schooling, age 20-24, female",Portugal,1,1
122,"Barro-Lee: Average years of primary schooling, age 20-24, female",Spain,1,1
123,"Barro-Lee: Average years of primary schooling, age 20-24, female",Sweden,1,1
124,"Barro-Lee: Average years of primary schooling, age 20-24, female",Switzerland,1,1
125,"Barro-Lee: Average years of primary schooling, age 20-24, female",United Kingdom,1,1
126,"Barro-Lee: Average years of primary schooling, age 20-24, total",Austria,1,1
127,"Barro-Lee: Average years of primary schooling, age 20-24, total",Belgium,1,1
128,"Barro-Lee: Average years of primary schooling, age 20-24, total",Bulgaria,1,1
129,"Barro-Lee: Average years of primary schooling, age 20-24, total",Denmark,1,1
130,"Barro-Lee: Average years of primary schooling, age 20-24, total",Finland,1,1
131,"Barro-Lee: Average years of primary schooling, age 20-24, total",France,1,1
132,"Barro-Lee: Average years of primary schooling, age 20-24, total",Germany,1,1
133,"Barro-Lee: Average years of primary schooling, age 20-24, total",Greece,1,1
134,"Barro-Lee: Average years of primary schooling, age 20-24, total",Hungary,1,1
135,"Barro-Lee: Average years of primary schooling, age 20-24, total",Ireland,1,1
136,"Barro-Lee: Average years of primary schooling, age 20-24, total",Italy,1,1
137,"Barro-Lee: Average years of primary schooling, age 20-24, total",Netherlands,1,1
138,"Barro-Lee: Average years of primary schooling, age 20-24, total",Norway,1,1
139,"Barro-Lee: Average years of primary schooling, age 20-24, total",Portugal,1,1
140,"Barro-Lee: Average years of primary schooling, age 20-24, total",Spain,1,1
141,"Barro-Lee: Average years of primary schooling, age 20-24, total",Sweden,1,1
142,"Barro-Lee: Average years of primary schooling, age 20-24, total",Switzerland,1,1
143,"Barro-Lee: Average years of primary schooling, age 20-24, total",United Kingdom,1,1
144,"Barro-Lee: Average years of primary schooling, age 25+, female",Austria,1,1
145,"Barro-Lee: Average years of primary schooling, age 25+, female",Belgium,1,1
146,"Barro-Lee: Average years of primary schooling, age 25+, female",Bulgaria,1,1
147,"Barro-Lee: Average years of primary schooling, age 25+, female",Denmark,1,1
148,"Barro-Lee: Average years of primary schooling, age 25+, female",Finland,1,1
149,"Barro-Lee: Average years of primary schooling, age 25+, female",France,1,1
150,"Barro-Lee: Average years of primary schooling, age 25+, female",Germany,1,1
151,"Barro-Lee: Average years of primary schooling, age 25+, female",Greece,1,1
152,"Barro-Lee: Average years of primary schooling, age 25+, female",Hungary,1,1
153,"Barro-Lee: Average years of primary schooling, age 25+, female",Ireland,1,1
154,"Barro-Lee: Average years of primary schooling, age 25+, female",Italy,1,1
155,"Barro-Lee: Average years of primary schooling, age 25+, female",Netherlands,1,1
156,"Barro-Lee: Average years of primary schooling, age 25+, female",Norway,1,1
157,"Barro-Lee: Average years of primary schooling, age 25+, female",Portugal,1,1
158,"Barro-Lee: Average years of primary schooling, age 25+, female",Spain,1,1
159,"Barro-Lee: Average years of primary schooling, age 25+, female",Sweden,1,1
160,"Barro-Lee: Average years of primary schooling, age 25+, female",Switzerland,1,1
161,"Barro-Lee: Average years of primary schooling, age 25+, female",United Kingdom,1,1
162,"Barro-Lee: Average years of primary schooling, age 25+, total",Austria,1,1
163,"Barro-Lee: Average years of primary schooling, age 25+, total",Belgium,1,1
164,"Barro-Lee: Average years of primary schooling, age 25+, total",Bulgaria,1,1
165,"Barro-Lee: Average years of primary schooling, age 25+, total",Denmark,1,1
166,"Barro-Lee: Average years of primary schooling, age 25+, total",Finland,1,1
167,"Barro-Lee: Average years of primary schooling, age 25+, total",France,1,1
168,"Barro-Lee: Average years of primary schooling, age 25+, total",Germany,1,1
169,"Barro-Lee: Average years of primary schooling, age 25+, total",Greece,1,1
170,"Barro-Lee: Average years of primary schooling, age 25+, total",Hungary,1,1
171,"Barro-Lee: Average years of primary schooling, age 25+, total",Ireland,1,1
172,"Barro-Lee: Average years of primary schooling, age 25+, total",Italy,1,1
173,"Barro-Lee: Average years of primary schooling, age 25+, total",Netherlands,1,1
174,"Barro-Lee: Average years of primary schooling, age 25+, total",Norway,1,1
175,"Barro-Lee: Average years of primary schooling, age 25+, total",Portugal,1,1
176,"Barro-Lee: Average years of primary schooling, age 25+, total",Spain,1,1
177,"Barro-Lee: Average years of primary schooling, age 25+, total",Sweden,1,1
178,"Barro-Lee: Average years of primary schooling, age 25+, total",Switzerland,1,1
179,"Barro-Lee: Average years of primary schooling, age 25+, total",United Kingdom,1,1
180,"Barro-Lee: Average years of primary schooling, age 25-29, female",Austria,1,1
181,"Barro-Lee: Average years of primary schooling, age 25-29, female",Belgium,1,1
182,"Barro-Lee: Average years of primary schooling, age 25-29, female",Bulgaria,1,1
183,"Barro-Lee: Average years of primary schooling, age 25-29, female",Denmark,1,1
184,"Barro-Lee: Average years of primary schooling, age 25-29, female",Finland,1,1
185,"Barro-Lee: Average years of primary schooling, age 25-29, female",France,1,1
186,"Barro-Lee: Average years of primary schooling, age 25-29, female",Germany,1,1
187,"Barro-Lee: Average years of primary schooling, age 25-29, female",Greece,1,1
188,"Barro-Lee: Average years of primary schooling, age 25-29, female",Hungary,1,1
189,"Barro-Lee: Average years of primary schooling, age 25-29, female",Ireland,1,1
190,"Barro-Lee: Average years of primary schooling, age 25-29, female",Italy,1,1
191,"Barro-Lee: Average years of primary schooling, age 25-29, female",Netherlands,1,1
192,"Barro-Lee: Average years of primary schooling, age 25-29, female",Norway,1,1
193,"Barro-Lee: Average years of primary schooling, age 25-29, female",Portugal,1,1
194,"Barro-Lee: Average years of primary schooling, age 25-29, female",Spain,1,1
195,"Barro-Lee: Average years of primary schooling, age 25-29, female",Sweden,1,1
196,"Barro-Lee: Average years of primary schooling, age 25-29, female",Switzerland,1,1
197,"Barro-Lee: Average years of primary schooling, age 25-29, female",United Kingdom,1,1
198,"Barro-Lee: Average years of primary schooling, age 25-29, total",Austria,1,1
199,"Barro-Lee: Average years of primary schooling, age 25-29, total",Belgium,1,1
200,"Barro-Lee: Average years of primary schooling, age 25-29, total",Bulgaria,1,1
201,"Barro-Lee: Average years of primary schooling, age 25-29, total",Denmark,1,1
202,"Barro-Lee: Average years of primary schooling, age 25-29, total",Finland,1,1
203,"Barro-Lee: Average years of primary schooling, age 25-29, total",France,1,1
204,"Barro-Lee: Average years of primary schooling, age 25-29, total",Germany,1,1
205,"Barro-Lee: Average years of primary schooling, age 25-29, total",Greece,1,1
206,"Barro-Lee: Average years of primary schooling, age 25-29, total",Hungary,1,1
207,"Barro-Lee: Average years of primary schooling, age 25-29, total",Ireland,1,1
208,"Barro-Lee: Average years of primary schooling, age 25-29, total",Italy,1,1
209,"Barro-Lee: Average years of primary schooling, age 25-29, total",Netherlands,1,1
210,"Barro-Lee: Average years of primary schooling, age 25-29, total",Norway,1,1
211,"Barro-Lee: Average years of primary schooling, age 25-29, total",Portugal,1,1
212,"Barro-Lee: Average years of primary schooling, age 25-29, total",Spain,1,1
213,"Barro-Lee: Average years of primary schooling, age 25-29, total",Sweden,1,1
214,"Barro-Lee: Average years of primary schooling, age 25-29, total",Switzerland,1,1
215,"Barro-Lee: Average years of primary schooling, age 25-29, total",United Kingdom,1,1
216,"Barro-Lee: Average years of primary schooling, age 30-34, female",Austria,1,1
217,"Barro-Lee: Average years of primary schooling, age 30-34, female",Belgium,1,1
218,"Barro-Lee: Average years of primary schooling, age 30-34, female",Bulgaria,1,1
219,"Barro-Lee: Average years of primary schooling, age 30-34, female",Denmark,1,1
220,"Barro-Lee: Average years of primary schooling, age 30-34, female",Finland,1,1
221,"Barro-Lee: Average years of primary schooling, age 30-34, female",France,1,1
222,"Barro-Lee: Average years of primary schooling, age 30-34, female",Germany,1,1
223,"Barro-Lee: Average years of primary schooling, age 30-34, female",Greece,1,1
224,"Barro-Lee: Average years of primary schooling, age 30-34, female",Hungary,1,1
225,"Barro-Lee: Average years of primary schooling, age 30-34, female",Ireland,1,1
226,"Barro-Lee: Average years of primary schooling, age 30-34, female",Italy,1,1
227,"Barro-Lee: Average years of primary schooling, age 30-34, female",Netherlands,1,1
228,"Barro-Lee: Average years of primary schooling, age 30-34, female",Norway,1,1
229,"Barro-Lee: Average years of primary schooling, age 30-34, female",Portugal,1,1
230,"Barro-Lee: Average years of primary schooling, age 30-34, female",Spain,1,1
231,"Barro-Lee: Average years of primary schooling, age 30-34, female",Sweden,1,1
232,"Barro-Lee: Average years of primary schooling, age 30-34, female",Switzerland,1,1
233,"Barro-Lee: Average years of primary schooling, age 30-34, female",United Kingdom,1,1
234,"Barro-Lee: Average years of primary schooling, age 30-34, total",Austria,1,1
235,"Barro-Lee: Average years of primary schooling, age 30-34, total",Belgium,1,1
236,"Barro-Lee: Average years of primary schooling, age 30-34, total",Bulgaria,1,1
237,"Barro-Lee: Average years of primary schooling, age 30-34, total",Denmark,1,1
238,"Barro-Lee: Average years of primary schooling, age 30-34, total",Finland,1,1
239,"Barro-Lee: Average years of primary schooling, age 30-34, total",France,1,1
240,"Barro-Lee: Average years of primary schooling, age 30-34, total",Germany,1,1
241,"Barro-Lee: Average years of primary schooling, age 30-34, total",Greece,1,1
242,"Barro-Lee: Average years of primary schooling, age 30-34, total",Hungary,1,1
243,"Barro-Lee: Average years of primary schooling, age 30-34, total",Ireland,1,1
244,"Barro-Lee: Average years of primary schooling, age 30-34, total",Italy,1,1
245,"Barro-Lee: Average years of primary schooling, age 30-34, total",Netherlands,1,1
246,"Barro-Lee: Average years of primary schooling, age 30-34, total",Norway,1,1
247,"Barro-Lee: Average years of primary schooling, age 30-34, total",Portugal,1,1
248,"Barro-Lee: Average years of primary schooling, age 30-34, total",Spain,1,1
249,"Barro-Lee: Average years of primary schooling, age 30-34, total",Sweden,1,1
250,"Barro-Lee: Average years of primary schooling, age 30-34, total",Switzerland,1,1
251,"Barro-Lee: Average years of primary schooling, age 30-34, total",United Kingdom,1,1
252,"Barro-Lee: Average years of primary schooling, age 35-39, female",Austria,1,1
253,"Barro-Lee: Average years of primary schooling, age 35-39, female",Belgium,1,1
254,"Barro-Lee: Average years of primary schooling, age 35-39, female",Bulgaria,1,1
255,"Barro-Lee: Average years of primary schooling, age 35-39, female",Denmark,1,1
256,"Barro-Lee: Average years of primary schooling, age 35-39, female",Finland,1,1
257,"Barro-Lee: Average years of primary schooling, age 35-39, female",France,1,1
258,"Barro-Lee: Average years of primary schooling, age 35-39, female",Germany,1,1
259,"Barro-Lee: Average years of primary schooling, age 35-39, female",Greece,1,1
260,"Barro-Lee: Average years of primary schooling, age 35-39, female",Hungary,1,1
261,"Barro-Lee: Average years of primary schooling, age 35-39, female",Ireland,1,1
262,"Barro-Lee: Average years of primary schooling, age 35-39, female",Italy,1,1
263,"Barro-Lee: Average years of primary schooling, age 35-39, female",Netherlands,1,1
264,"Barro-Lee: Average years of primary schooling, age 35-39, female",Norway,1,1
265,"Barro-Lee: Average years of primary schooling, age 35-39, female",Portugal,1,1
266,"Barro-Lee: Average years of primary schooling, age 35-39, female",Spain,1,1
267,"Barro-Lee: Average years of primary schooling, age 35-39, female",Sweden,1,1
268,"Barro-Lee: Average years of primary schooling, age 35-39, female",Switzerland,1,1
269,"Barro-Lee: Average years of primary schooling, age 35-39, female",United Kingdom,1,1
270,"Barro-Lee: Average years of primary schooling, age 35-39, total",Austria,1,1
271,"Barro-Lee: Average years of primary schooling, age 35-39, total",Belgium,1,1
272,"Barro-Lee: Average years of primary schooling, age 35-39, total",Bulgaria,1,1
273,"Barro-Lee: Average years of primary schooling, age 35-39, total",Denmark,1,1
274,"Barro-Lee: Average years of primary schooling, age 35-39, total",Finland,1,1
275,"Barro-Lee: Average years of primary schooling, age 35-39, total",France,1,1
276,"Barro-Lee: Average years of primary schooling, age 35-39, total",Germany,1,1
277,"Barro-Lee: Average years of primary schooling, age 35-39, total",Greece,1,1
278,"Barro-Lee: Average years of primary schooling, age 35-39, total",Hungary,1,1
279,"Barro-Lee: Average years of primary schooling, age 35-39, total",Ireland,1,1
280,"Barro-Lee: Average years of primary schooling, age 35-39, total",Italy,1,1
281,"Barro-Lee: Average years of primary schooling, age 35-39, total",Netherlands,1,1
282,"Barro-Lee: Average years of primary schooling, age 35-39, total",Norway,1,1
283,"Barro-Lee: Average years of primary schooling, age 35-39, total",Portugal,1,1
284,"Barro-Lee: Average years of primary schooling, age 35-39, total",Spain,1,1
285,"Barro-Lee: Average years of primary schooling, age 35-39, total",Sweden,1,1
286,"Barro-Lee: Average years of primary schooling, age 35-39, total",Switzerland,1,1
287,"Barro-Lee: Average years of primary schooling, age 35-39, total",United Kingdom,1,1
288,"Barro-Lee: Average years of primary schooling, age 40-44, female",Austria,1,1
289,"Barro-Lee: Average years of primary schooling, age 40-44, female",Belgium,1,1
290,"Barro-Lee: Average years of primary schooling, age 40-44, female",Bulgaria,1,1
291,"Barro-Lee: Average years of primary schooling, age 40-44, female",Denmark,1,1
292,"Barro-Lee: Average years of primary schooling, age 40-44, female",Finland,1,1
293,"Barro-Lee: Average years of primary schooling, age 40-44, female",France,1,1
294,"Barro-Lee: Average years of primary schooling, age 40-44, female",Germany,1,1
295,"Barro-Lee: Average years of primary schooling, age 40-44, female",Greece,1,1
296,"Barro-Lee: Average years of primary schooling, age 40-44, female",Hungary,1,1
297,"Barro-Lee: Average years of primary schooling, age 40-44, female",Ireland,1,1
298,"Barro-Lee: Average years of primary schooling, age 40-44, female",Italy,1,1
299,"Barro-Lee: Average years of primary schooling, age 40-44, female",Netherlands,1,1
300,"Barro-Lee: Average years of primary schooling, age 40-44, female",Norway,1,1
301,"Barro-Lee: Average years of primary schooling, age 40-44, female",Portugal,1,1
302,"Barro-Lee: Average years of primary schooling, age 40-44, female",Spain,1,1
303,"Barro-Lee: Average years of primary schooling, age 40-44, female",Sweden,1,1
304,"Barro-Lee: Average years of primary schooling, age 40-44, female",Switzerland,1,1
305,"Barro-Lee: Average years of primary schooling, age 40-44, female",United Kingdom,1,1
306,"Barro-Lee: Average years of primary schooling, age 40-44, total",Austria,1,1
307,"Barro-Lee: Average years of primary schooling, age 40-44, total",Belgium,1,1
308,"Barro-Lee: Average years of primary schooling, age 40-44, total",Bulgaria,1,1
309,"Barro-Lee: Average years of primary schooling, age 40-44, total",Denmark,1,1
310,"Barro-Lee: Average years of primary schooling, age 40-44, total",Finland,1,1
311,"Barro-Lee: Average years of primary schooling, age 40-44, total",France,1,1
312,"Barro-Lee: Average years of primary schooling, age 40-44, total",Germany,1,1
313,"Barro-Lee: Average years of primary schooling, age 40-44, total",Greece,1,1
314,"Barro-Lee: Average years of primary schooling, age 40-44, total",Hungary,1,1
315,"Barro-Lee: Average years of primary schooling, age 40-44, total",Ireland,1,1
316,"Barro-Lee: Average years of primary schooling, age 40-44, total",Italy,1,1
317,"Barro-Lee: Average years of primary schooling, age 40-44, total",Netherlands,1,1
318,"Barro-Lee: Average years of primary schooling, age 40-44, total",Norway,1,1
319,"Barro-Lee: Average years of primary schooling, age 40-44, total",Portugal,1,1
320,"Barro-Lee: Average years of primary schooling, age 40-44, total",Spain,1,1
321,"Barro-Lee: Average years of primary schooling, age 40-44, total",Sweden,1,1
322,"Barro-Lee: Average years of primary schooling, age 40-44, total",Switzerland,1,1
323,"Barro-Lee: Average years of primary schooling, age 40-44, total",United Kingdom,1,1
324,"Barro-Lee: Average years of primary schooling, age 45-49, female",Austria,1,1
325,"Barro-Lee: Average years of primary schooling, age 45-49, female",Belgium,1,1
326,"Barro-Lee: Average years of primary schooling, age 45-49, female",Bulgaria,1,1
327,"Barro-Lee: Average years of primary schooling, age 45-49, female",Denmark,1,1
328,"Barro-Lee: Average years of primary schooling, age 45-49, female",Finland,1,1
329,"Barro-Lee: Average years of primary schooling, age 45-49, female",France,1,1
330,"Barro-Lee: Average years of primary schooling, age 45-49, female",Germany,1,1
331,"Barro-Lee: Average years of primary schooling, age 45-49, female",Greece,1,1
332,"Barro-Lee: Average years of primary schooling, age 45-49, female",Hungary,1,1
333,"Barro-Lee: Average years of primary schooling, age 45-49, female",Ireland,1,1
334,"Barro-Lee: Average years of primary schooling, age 45-49, female",Italy,1,1
335,"Barro-Lee: Average years of primary schooling, age 45-49, female",Netherlands,1,1
336,"Barro-Lee: Average years of primary schooling, age 45-49, female",Norway,1,1
337,"Barro-Lee: Average years of primary schooling, age 45-49, female",Portugal,1,1
338,"Barro-Lee: Average years of primary schooling, age 45-49, female",Spain,1,1
339,"Barro-Lee: Average years of primary schooling, age 45-49, female",Sweden,1,1
340,"Barro-Lee: Average years of primary schooling, age 45-49, female",Switzerland,1,1
341,"Barro-Lee: Average years of primary schooling, age 45-49, female",United Kingdom,1,1
342,"Barro-Lee: Average years of primary schooling, age 45-49, total",Austria,1,1
343,"Barro-Lee: Average years of primary schooling, age 45-49, total",Belgium,1,1
344,"Barro-Lee: Average years of primary schooling, age 45-49, total",Bulgaria,1,1
345,"Barro-Lee: Average years of primary schooling, age 45-49, total",Denmark,1,1
346,"Barro-Lee: Average years of primary schooling, age 45-49, total",Finland,1,1
347,"Barro-Lee: Average years of primary schooling, age 45-49, total",France,1,1
348,"Barro-Lee: Average years of primary schooling, age 45-49, total",Germany,1,1
349,"Barro-Lee: Average years of primary schooling, age 45-49, total",Greece,1,1
350,"Barro-Lee: Average years of primary schooling, age 45-49, total",Hungary,1,1
351,"Barro-Lee: Average years of primary schooling, age 45-49, total",Ireland,1,1
352,"Barro-Lee: Average years of primary schooling, age 45-49, total",Italy,1,1
353,"Barro-Lee: Average years of primary schooling, age 45-49, total",Netherlands,1,1
354,"Barro-Lee: Average years of primary schooling, age 45-49, total",Norway,1,1
355,"Barro-Lee: Average years of primary schooling, age 45-49, total",Portugal,1,1
356,"Barro-Lee: Average years of primary schooling, age 45-49, total",Spain,1,1
357,"Barro-Lee: Average years of primary schooling, age 45-49, total",Sweden,1,1
358,"Barro-Lee: Average years of primary schooling, age 45-49, total",Switzerland,1,1
359,"Barro-Lee: Average years of primary schooling, age 45-49, total",United Kingdom,1,1
360,"Barro-Lee: Average years of primary schooling, age 50-54, female",Austria,1,1
361,"Barro-Lee: Average years of primary schooling, age 50-54, female",Belgium,1,1
362,"Barro-Lee: Average years of primary schooling, age 50-54, female",Bulgaria,1,1
363,"Barro-Lee: Average years of primary schooling, age 50-54, female",Denmark,1,1
364,"Barro-Lee: Average years of primary schooling, age 50-54, female",Finland,1,1
365,"Barro-Lee: Average years of primary schooling, age 50-54, female",France,1,1
366,"Barro-Lee: Average years of primary schooling, age 50-54, female",Germany,1,1
367,"Barro-Lee: Average years of primary schooling, age 50-54, female",Greece,1,1
368,"Barro-Lee: Average years of primary schooling, age 50-54, female",Hungary,1,1
369,"Barro-Lee: Average years of primary schooling, age 50-54, female",Ireland,1,1
370,"Barro-Lee: Average years of primary schooling, age 50-54, female",Italy,1,1
371,"Barro-Lee: Average years of primary schooling, age 50-54, female",Netherlands,1,1
372,"Barro-Lee: Average years of primary schooling, age 50-54, female",Norway,1,1
373,"Barro-Lee: Average years of primary schooling, age 50-54, female",Portugal,1,1
