indicator_name,indicator_code
"Barro-Lee: Average years of secondary schooling, age 60-64, female",BAR.SEC.SCHL.6064.FE
"Barro-Lee: Average years of secondary schooling, age 60-64, total",BAR.SEC.SCHL.6064
"Barro-Lee: Average years of secondary schooling, age 65-69, female",BAR.SEC.SCHL.6569.FE
"Barro-Lee: Average years of secondary schooling, age 65-69, total",BAR.SEC.SCHL.6569
"Barro-Lee: Average years of secondary schooling, age 70-74, female",BAR.SEC.SCHL.7074.FE
"Barro-Lee: Average years of secondary schooling, age 70-74, total",BAR.SEC.SCHL.7074
"Barro-Lee: Average years of secondary schooling, age 75+, female",BAR.SEC.SCHL.75UP.FE
"Barro-Lee: Average years of secondary schooling, age 75+, total",BAR.SEC.SCHL.75UP
"Barro-Lee: Average years of tertiary schooling, age 15+, female",BAR.TER.SCHL.15UP.FE
"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP
"Barro-Lee: Average years of tertiary schooling, age 15-19, female",BAR.TER.SCHL.1519.FE
"Barro-Lee: Average years of tertiary schooling, age 15-19, total",BAR.TER.SCHL.1519
"Barro-Lee: Average years of tertiary schooling, age 20-24, female",BAR.TER.SCHL.2024.FE
"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024
"Barro-Lee: Average years of tertiary schooling, age 25+, female",BAR.TER.SCHL.25UP.FE
"Barro-Lee: Average years of tertiary schooling, age 25+, total",BAR.TER.SCHL.25UP
"Barro-Lee: Average years of tertiary schooling, age 25-29, female",BAR.TER.SCHL.2529.FE
"Barro-Lee: Average years of tertiary schooling, age 25-29, total",BAR.TER.SCHL.2529
"Barro-Lee: Average years of tertiary schooling, age 30-34, female",BAR.TER.SCHL.3034.FE
"Barro-Lee: Average years of tertiary schooling, age 30-34, total",BAR.TER.SCHL.3034
"Barro-Lee: Average years of tertiary schooling, age 35-39, female",BAR.TER.SCHL.3539.FE
"Barro-Lee: Average years of tertiary schooling, age 35-39, total",BAR.TER.SCHL.3539
"Barro-Lee: Average years of tertiary schooling, age 40-44, female",BAR.TER.SCHL.4044.FE
"Barro-Lee: Average years of tertiary schooling, age 40-44, total",BAR.TER.SCHL.4044
"Barro-Lee: Average years of tertiary schooling, age 45-49, female",BAR.TER.SCHL.4549.FE
"Barro-Lee: Average years of tertiary schooling, age 45-49, total",BAR.TER.SCHL.4549
"Barro-Lee: Average years of tertiary schooling, age 50-54, female",BAR.TER.SCHL.5054.FE
"Barro-Lee: Average years of tertiary schooling, age 50-54, total",BAR.TER.SCHL.5054
"Barro-Lee: Average years of tertiary schooling, age 55-59, female",BAR.TER.SCHL.5559.FE
"Barro-Lee: Average years of tertiary schooling, age 55-59, total",BAR.TER.SCHL.5559
"Barro-Lee: Average years of tertiary schooling, age 60-64, female",BAR.TER.SCHL.6064.FE
"Barro-Lee: Average years of tertiary schooling, age 60-64, total",BAR.TER.SCHL.6064
"Barro-Lee: Average years of tertiary schooling, age 65-69, female",BAR.TER.SCHL.6569.FE
"Barro-Lee: Average years of tertiary schooling, age 65-69, total",BAR.TER.SCHL.6569
"Barro-Lee: Average years of tertiary schooling, age 70-74, female",BAR.TER.SCHL.7074.FE
"Barro-Lee: Average years of tertiary schooling, age 70-74, total",BAR.TER.SCHL.7074
"Barro-Lee: Average years of tertiary schooling, age 75+, female",BAR.TER.SCHL.75UP.FE
"Barro-Lee: Average years of tertiary schooling, age 75+, total",BAR.TER.SCHL.75UP
"Barro-Lee: Average years of total schooling, age 15+, female",BAR.SCHL.15UP.FE
"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP
"Barro-Lee: Average years of total schooling, age 15-19, female",BAR.SCHL.1519.FE
"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519
"Barro-Lee: Average years of total schooling, age 20-24, female",BAR.SCHL.2024.FE
"Barro-Lee: Average years of total schooling, age 20-24, total",BAR.SCHL.2024
"Barro-Lee: Average years of total schooling, age 25+, female",BAR.SCHL.25UP.FE
"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP
"Barro-Lee: Average years of total schooling, age 25-29, female",BAR.SCHL.2529.FE
"Barro-Lee: Average years of total schooling, age 25-29, total",BAR.SCHL.2529
"Barro-Lee: Average years of total schooling, age 30-34, female",BAR.SCHL.3034.FE
"Barro-Lee: Average years of total schooling, age 30-34, total",BAR.SCHL.3034
"Barro-Lee: Average years of total schooling, age 35-39, female",BAR.SCHL.3539.FE
"Barro-Lee: Average years of total schooling, age 35-39, total",BAR.SCHL.3539
"Barro-Lee: Average years of total schooling, age 40-44, female",BAR.SCHL.4044.FE
"Barro-Lee: Average years of total schooling, age 40-44, total",BAR.SCHL.4044
"Barro-Lee: Average years of total schooling, age 45-49, female",BAR.SCHL.4549.FE
"Barro-Lee: Average years of total schooling, age 45-49, total",BAR.SCHL.4549
"Barro-Lee: Average years of total schooling, age 50-54, female",BAR.SCHL.5054.FE
"Barro-Lee: Average years of total schooling, age 50-54, total",BAR.SCHL.5054
"Barro-Lee: Average years of total schooling, age 55-59, female",BAR.SCHL.5559.FE
"Barro-Lee: Average years of total schooling, age 55-59, total",BAR.SCHL.5559
"Barro-Lee: Average years of total schooling, age 60-64, female",BAR.SCHL.6064.FE
"Barro-Lee: Average years of total schooling, age 60-64, total",BAR.SCHL.6064
"Barro-Lee: Average years of total schooling, age 65-69, female",BAR.SCHL.6569.FE
"Barro-Lee: Average years of total schooling, age 65-69, total",BAR.SCHL.6569
"Barro-Lee: Average years of total schooling, age 70-74, female",BAR.SCHL.7074.FE
"Barro-Lee: Average years of total schooling, age 70-74, total",BAR.SCHL.7074
"Barro-Lee: Average years of total schooling, age 75+, female",BAR.SCHL.75UP.FE
"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP
Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS
Barro-Lee: Percentage of female population age 15+ with primary schooling. Completed Primary,BAR.PRM.CMPT.15UP.FE.ZS
Barro-Lee: Percentage of female population age 15+ with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.15UP.FE.ZS
Barro-Lee: Percentage of female population age 15+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.15UP.FE.ZS
Barro-Lee: Percentage of female population age 15+ with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.15UP.FE.ZS
Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.15UP.FE.ZS
Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.15UP.FE.ZS
Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS
Barro-Lee: Percentage of female population age 15-19 with primary schooling. Completed Primary,BAR.PRM.CMPT.1519.FE.ZS
Barro-Lee: Percentage of female population age 15-19 with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.1519.FE.ZS
Barro-Lee: Percentage of female population age 15-19 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.1519.FE.ZS
Barro-Lee: Percentage of female population age 15-19 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.1519.FE.ZS
Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.1519.FE.ZS
Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.1519.FE.ZS
Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS
Barro-Lee: Percentage of female population age 20-24 with primary schooling. Completed Primary,BAR.PRM.CMPT.2024.FE.ZS
Barro-Lee: Percentage of female population age 20-24 with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.2024.FE.ZS
Barro-Lee: Percentage of female population age 20-24 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.2024.FE.ZS
Barro-Lee: Percentage of female population age 20-24 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.2024.FE.ZS
Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.2024.FE.ZS
Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.2024.FE.ZS
Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS
Barro-Lee: Percentage of female population age 25+ with primary schooling. Completed Primary,BAR.PRM.CMPT.25UP.FE.ZS
Barro-Lee: Percentage of female population age 25+ with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.25UP.FE.ZS
Barro-Lee: Percentage of female population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.FE.ZS
Barro-Lee: Percentage of female population age 25+ with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.25UP.FE.ZS
Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.25UP.FE.ZS
Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.25UP.FE.ZS
Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS
Barro-Lee: Percentage of female population age 25-29 with primary schooling. Completed Primary,BAR.PRM.CMPT.2529.FE.ZS
Barro-Lee: Percentage of female population age 25-29 with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.2529.FE.ZS
Barro-Lee: Percentage of female population age 25-29 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.2529.FE.ZS
Barro-Lee: Percentage of female population age 25-29 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.2529.FE.ZS
Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.2529.FE.ZS
Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.2529.FE.ZS
Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS
Barro-Lee: Percentage of female population age 30-34 with primary schooling. Completed Primary,BAR.PRM.CMPT.3034.FE.ZS
Barro-Lee: Percentage of female population age 30-34 with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.3034.FE.ZS
Barro-Lee: Percentage of female population age 30-34 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.3034.FE.ZS
Barro-Lee: Percentage of female population age 30-34 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.3034.FE.ZS
Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.3034.FE.ZS
Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.3034.FE.ZS
Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS
Barro-Lee: Percentage of female population age 35-39 with primary schooling. Completed Primary,BAR.PRM.CMPT.3539.FE.ZS
Barro-Lee: Percentage of female population age 35-39 with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.3539.FE.ZS
Barro-Lee: Percentage of female population age 35-39 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.3539.FE.ZS
Barro-Lee: Percentage of female population age 35-39 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.3539.FE.ZS
Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.3539.FE.ZS
Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.3539.FE.ZS
Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS
Barro-Lee: Percentage of female population age 40-44 with primary schooling. Completed Primary,BAR.PRM.CMPT.4044.FE.ZS
Barro-Lee: Percentage of female population age 40-44 with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.4044.FE.ZS
Barro-Lee: Percentage of female population age 40-44 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.4044.FE.ZS
Barro-Lee: Percentage of female population age 40-44 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.4044.FE.ZS
Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.4044.FE.ZS
Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.4044.FE.ZS
Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS
Barro-Lee: Percentage of female population age 45-49 with primary schooling. Completed Primary,BAR.PRM.CMPT.4549.FE.ZS
Barro-Lee: Percentage of female population age 45-49 with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.4549.FE.ZS
Barro-Lee: Percentage of female population age 45-49 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.4549.FE.ZS
Barro-Lee: Percentage of female population age 45-49 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.4549.FE.ZS
Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.4549.FE.ZS
Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.4549.FE.ZS
Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS
Barro-Lee: Percentage of female population age 50-54 with primary schooling. Completed Primary,BAR.PRM.CMPT.5054.FE.ZS
Barro-Lee: Percentage of female population age 50-54 with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.5054.FE.ZS
Barro-Lee: Percentage of female population age 50-54 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.5054.FE.ZS
Barro-Lee: Percentage of female population age 50-54 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.5054.FE.ZS
Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.5054.FE.ZS
Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.5054.FE.ZS
Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS
Barro-Lee: Percentage of female population age 55-59 with primary schooling. Completed Primary,BAR.PRM.CMPT.5559.FE.ZS
Barro-Lee: Percentage of female population age 55-59 with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.5559.FE.ZS
Barro-Lee: Percentage of female population age 55-59 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.5559.FE.ZS
Barro-Lee: Percentage of female population age 55-59 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.5559.FE.ZS
Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.5559.FE.ZS
Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.5559.FE.ZS
Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS
Barro-Lee: Percentage of female population age 60-64 with primary schooling. Completed Primary,BAR.PRM.CMPT.6064.FE.ZS
Barro-Lee: Percentage of female population age 60-64 with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.6064.FE.ZS
Barro-Lee: Percentage of female population age 60-64 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.6064.FE.ZS
Barro-Lee: Percentage of female population age 60-64 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.6064.FE.ZS
Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.6064.FE.ZS
Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.6064.FE.ZS
Barro-Lee: Percentage of female population age 65-69 with no education,BAR.NOED.6569.FE.ZS
Barro-Lee: Percentage of female population age 65-69 with primary schooling. Completed Primary,BAR.PRM.CMPT.6569.FE.ZS
Barro-Lee: Percentage of female population age 65-69 with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.6569.FE.ZS
Barro-Lee: Percentage of female population age 65-69 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.6569.FE.ZS
Barro-Lee: Percentage of female population age 65-69 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.6569.FE.ZS
Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.6569.FE.ZS
Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.6569.FE.ZS
Barro-Lee: Percentage of female population age 70-74 with no education,BAR.NOED.7074.FE.ZS
Barro-Lee: Percentage of female population age 70-74 with primary schooling. Completed Primary,BAR.PRM.CMPT.7074.FE.ZS
Barro-Lee: Percentage of female population age 70-74 with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.7074.FE.ZS
Barro-Lee: Percentage of female population age 70-74 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.7074.FE.ZS
Barro-Lee: Percentage of female population age 70-74 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.7074.FE.ZS
Barro-Lee: Percentage of female population age 70-74 with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.7074.FE.ZS
Barro-Lee: Percentage of female population age 70-74 with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.7074.FE.ZS
Barro-Lee: Percentage of female population age 75+ with no education,BAR.NOED.75UP.FE.ZS
Barro-Lee: Percentage of female population age 75+ with primary schooling. Completed Primary,BAR.PRM.CMPT.75UP.FE.ZS
Barro-Lee: Percentage of female population age 75+ with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.75UP.FE.ZS
Barro-Lee: Percentage of female population age 75+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.75UP.FE.ZS
Barro-Lee: Percentage of female population age 75+ with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.75UP.FE.ZS
Barro-Lee: Percentage of female population age 75+ with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.75UP.FE.ZS
Barro-Lee: Percentage of female population age 75+ with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.75UP.FE.ZS
Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS
Barro-Lee: Percentage of population age 15+ with primary schooling. Completed Primary,BAR.PRM.CMPT.15UP.ZS
Barro-Lee: Percentage of population age 15+ with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.15UP.ZS
Barro-Lee: Percentage of population age 15+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.15UP.ZS
Barro-Lee: Percentage of population age 15+ with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.15UP.ZS
Barro-Lee: Percentage of population age 15+ with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.15UP.ZS
Barro-Lee: Percentage of population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.15UP.ZS
Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS
Barro-Lee: Percentage of population age 15-19 with primary schooling. Completed Primary,BAR.PRM.CMPT.1519.ZS
Barro-Lee: Percentage of population age 15-19 with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.1519.ZS
Barro-Lee: Percentage of population age 15-19 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.1519.ZS
Barro-Lee: Percentage of population age 15-19 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.1519.ZS
Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.1519.ZS
Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.1519.ZS
Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS
Barro-Lee: Percentage of population age 20-24 with primary schooling. Completed Primary,BAR.PRM.CMPT.2024.ZS
Barro-Lee: Percentage of population age 20-24 with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.2024.ZS
Barro-Lee: Percentage of population age 20-24 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.2024.ZS
Barro-Lee: Percentage of population age 20-24 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.2024.ZS
Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.2024.ZS
Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.2024.ZS
Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS
Barro-Lee: Percentage of population age 25+ with primary schooling. Completed Primary,BAR.PRM.CMPT.25UP.ZS
Barro-Lee: Percentage of population age 25+ with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.25UP.ZS
Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.25UP.ZS
Barro-Lee: Percentage of population age 25+ with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.25UP.ZS
Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.25UP.ZS
Barro-Lee: Percentage of population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.25UP.ZS
Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS
Barro-Lee: Percentage of population age 25-29 with primary schooling. Completed Primary,BAR.PRM.CMPT.2529.ZS
Barro-Lee: Percentage of population age 25-29 with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.2529.ZS
Barro-Lee: Percentage of population age 25-29 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.2529.ZS
Barro-Lee: Percentage of population age 25-29 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.2529.ZS
Barro-Lee: Percentage of population age 25-29 with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.2529.ZS
Barro-Lee: Percentage of population age 25-29 with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.2529.ZS
Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS
Barro-Lee: Percentage of population age 30-34 with primary schooling. Completed Primary,BAR.PRM.CMPT.3034.ZS
Barro-Lee: Percentage of population age 30-34 with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.3034.ZS
Barro-Lee: Percentage of population age 30-34 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.3034.ZS
